"period","searchVolume"
"2019-10","1560"
"2019-11","2460"
"2019-12","2010"
"2020-01","1380"
"2020-02","1110"
"2020-03","1030"
"2020-04","1020"
"2020-05","1490"
"2020-06","1100"
"2020-07","950"
"2020-08","1160"
"2020-09","910"
"2020-10","1340"
"2020-11","1370"
"2020-12","880"
"2021-01","860"
"2021-02","740"
"2021-03","920"
"2021-04","660"
"2021-05","880"
"2021-06","970"
"2021-07","710"
"2021-08","610"
"2021-09","880"
"2021-10","1030"
"2021-11","820"
"2021-12","730"
"2022-01","620"
"2022-02","560"
"2022-03","700"
"2022-04","780"
"2022-05","740"
"2022-06","880"
"2022-07","970"
"2022-08","900"
"2022-09","680"
