"period","searchVolume"
"2019-10","0"
"2019-11","0"
"2019-12","0"
"2020-01","0"
"2020-02","0"
"2020-03","0"
"2020-04","0"
"2020-05","50"
"2020-06","360"
"2020-07","380"
"2020-08","300"
"2020-09","290"
"2020-10","70"
"2020-11","40"
"2020-12","260"
"2021-01","100"
"2021-02","80"
"2021-03","90"
"2021-04","190"
"2021-05","140"
"2021-06","180"
"2021-07","260"
"2021-08","740"
"2021-09","290"
"2021-10","180"
"2021-11","460"
"2021-12","190"
"2022-01","1460"
"2022-02","110"
"2022-03","190"
"2022-04","0"
"2022-05","200"
"2022-06","100"
"2022-07","120"
"2022-08","110"
"2022-09","160"
