,period,원피스,트위드자켓,써스데이아일랜드원피스,숏패딩,블라우스,롱패딩,롱원피스,잠옷,나이키바람막이,핸드메이드코트,몽클레어여성패딩,니트원피스,맨투맨,여성패딩,여성숏패딩,지고트원피스,하객원피스,후드티,여성트레이닝세트,코트
0,2019-10,368800,153900,44300,217100,97300,279600,106100,139400,176800,145200,124600,187600,357700,35800,29400,24400,122100,319200,100700,97800
1,2019-11,324600,79700,42900,653100,63600,926800,79500,148500,48300,272800,320700,216400,214300,161900,313500,20700,101500,219900,74100,180000
2,2019-12,371000,61600,41100,368800,65200,489000,68800,172600,32700,164500,329600,185000,182000,147300,271100,20800,61400,171700,63000,148200
3,2020-01,389500,120300,48900,213200,80200,146400,77800,136200,77300,118600,184100,108300,183300,63700,182000,21700,58900,164000,80800,116600
4,2020-02,382400,231000,52600,92200,122400,58500,87500,156800,183400,85500,79100,59300,189500,25800,83600,26400,70600,166500,79200,84500
5,2020-03,435800,221700,68500,30900,160500,24600,118800,259000,415900,38900,25100,38900,226000,10200,23300,23600,37100,179600,126000,45000
6,2020-04,464900,105100,80900,10500,164900,51900,135000,240900,524300,8780,8360,32300,191300,4390,3330,27900,61700,131500,132500,24000
7,2020-05,600200,25500,101600,6810,200600,11800,168900,222200,413200,4080,5220,27900,65000,3050,2270,32500,93200,40100,92500,14700
8,2020-06,719100,8710,113200,5740,186000,10400,186000,168500,136100,2640,5270,27600,27200,1190,230,36700,82100,16100,56000,10200
9,2020-07,692800,13600,121100,15000,168500,20200,174400,144200,166400,6530,14600,29000,33600,2840,910,32400,50200,24200,48900,18000
10,2020-08,621200,32100,93100,41400,146500,43700,129400,158900,171200,16200,35600,32000,64500,5920,1850,29900,70700,48900,41500,28100
11,2020-09,402900,117800,81600,88600,127200,101000,95400,229200,483700,37600,77900,93400,332300,12000,4440,23500,53400,284500,105600,46800
12,2020-10,345900,164600,57600,304100,82100,291300,91800,268900,258500,172900,198700,182100,360500,55800,41900,24800,91700,331200,163300,119300
13,2020-11,295500,84800,40700,726500,52800,643900,65200,217100,56900,250000,336800,181200,212200,141600,286000,23800,74200,222600,124000,179900
14,2020-12,272100,44800,34600,283100,43300,549600,48100,326200,37500,110500,322600,122500,166000,148000,214100,14900,28000,158500,106200,113100
15,2021-01,288000,71500,38400,119300,59100,255100,50000,235300,66800,71200,208300,75900,148000,74200,123000,15900,32800,134500,106500,84500
16,2021-02,312000,192300,44900,54200,88000,43000,67000,166200,135400,62000,88400,46900,154200,22900,58500,19700,49200,133700,121400,70900
17,2021-03,448800,261700,71000,15200,150200,13400,113400,170500,236400,27700,26000,35500,199700,5400,14200,28200,69100,163600,162200,41100
18,2021-04,483300,93200,90400,3300,145900,5360,115100,158400,200700,2460,5280,23500,132100,1030,450,30800,72700,93900,125700,15400
19,2021-05,532800,33000,94500,3310,137100,6280,115400,155700,159600,1550,4660,19000,62800,820,200,32900,71600,40300,89300,23800
20,2021-06,655600,12400,115000,4860,143200,7540,122200,134200,74800,2230,5510,16800,29300,1130,270,34600,44700,18900,62600,86600
21,2021-07,684400,13800,119800,10600,116600,15400,101200,143400,39200,4660,15200,12400,26800,2440,730,30300,17100,19700,48400,22700
22,2021-08,435500,55000,94300,30200,88900,40300,71400,129000,105800,12300,42400,27000,98700,6620,2420,28500,41300,90300,50100,27800
23,2021-09,378400,130900,80200,43700,102600,55700,83600,148200,291700,18100,64100,72300,248800,9750,5270,38900,74400,225900,104100,33700
24,2021-10,352000,159300,67400,295200,80200,285800,88900,209100,205700,104800,177100,149300,296900,73500,63900,45700,111100,308100,151500,110800
25,2021-11,268300,96700,47000,626000,40300,578600,55600,184600,48500,165000,305600,171200,183200,186100,190200,39500,90800,214500,128300,144300
26,2021-12,249400,58500,44000,358500,35100,632800,43400,197500,24400,98800,363800,137700,135100,174600,199000,21400,40100,161600,88300,119100
27,2022-01,260600,96000,45000,170500,45700,266600,43300,156400,44700,67600,236400,90000,114600,108200,140000,27500,46500,132200,89600,94900
28,2022-02,260400,199500,45900,85900,61800,96000,50400,151600,85800,48800,125000,49100,115300,47300,74800,31600,62200,122700,80200,69400
29,2022-03,406500,336500,64500,25600,105600,22100,79300,156200,239000,33800,52800,35800,248300,14100,23300,41700,73200,143000,122000,42200
30,2022-04,493800,140200,84100,4350,126900,7820,104100,146000,302400,22500,18800,24600,124500,2220,1540,46400,86700,80300,109400,17200
31,2022-05,581400,56300,104300,5510,128800,10100,114500,131400,222000,8100,11200,25900,52600,2880,1920,56300,93500,34500,80200,11700
32,2022-06,649100,39800,116200,8840,118700,13100,118700,130600,117700,6550,13400,24800,38100,5450,4100,52200,64800,25100,57100,14000
33,2022-07,672500,35500,109200,13100,111600,18500,121200,125700,54600,8200,20200,25900,30700,7490,5030,47000,35800,25300,52000,17100
34,2022-08,505500,67800,75100,28600,91100,38700,82200,111700,133500,12300,47500,35100,82200,12100,6740,46700,62500,80100,48500,24300
35,2022-09,350800,146200,57200,36900,92800,52400,57400,115400,239000,15900,65500,60000,200900,12200,3580,50200,82500,187300,79000,26400
