,period,크록스,나이키운동화,운동화,나이키에어포스,슬리퍼,아디다스운동화,카드지갑,에코백,뉴발란스327,나이키데이브레이크,스케쳐스운동화,셀린느가방,뉴발란스운동화,나이키에어맥스,크로스백,루이비통가방,나이키에어맥스97,크록스슬리퍼,백팩,나이키
0,2019-10,213600,459500,201200,76700,137000,190600,159500,205000,0,256100,87100,107200,92500,177800,138100,284400,529800,47700,169600,2481100
1,2019-11,251000,485600,205300,96500,139200,191700,149300,160800,0,289400,80700,106200,97600,199600,128600,298900,595800,40400,149900,4042500
2,2019-12,256700,427100,192200,92500,110900,170300,178700,147500,0,360800,65900,118200,88600,202000,136300,359600,598600,31100,163600,2735900
3,2020-01,199800,443500,209100,107300,145900,177200,219000,164900,240,514500,68700,138500,98400,224500,160400,388900,633800,49400,240600,2502800
4,2020-02,236900,473200,231200,116200,243200,182500,212100,186100,200,734700,154400,135800,91200,203300,151400,303800,553300,76300,253500,2945900
5,2020-03,366700,546700,267300,107300,232700,186000,220600,207800,2670,1024600,98500,119000,103300,196500,157000,259600,535800,104900,169700,3209200
6,2020-04,616500,541500,239700,81800,209000,183400,213400,211900,18400,683700,92300,105600,86600,189700,149200,247000,398400,135900,126400,3896200
7,2020-05,1021500,555200,220400,79800,351200,176900,228300,269400,141900,503000,90400,104400,62900,179000,167500,235700,313500,214500,142500,3513800
8,2020-06,1148600,370400,164700,57500,381500,120900,225500,287100,132700,307000,62800,99500,33900,123200,165100,229600,187100,192700,135200,2569900
9,2020-07,968000,352600,156700,65200,311900,117300,239700,263900,127200,276700,59600,143100,29600,113900,154900,231700,175000,158800,141200,3273600
10,2020-08,796100,324000,155000,85800,275000,112700,253200,230400,515000,268500,62200,121000,35300,136500,155500,244500,162400,140000,140600,2619300
11,2020-09,349200,456400,204900,85100,155100,140800,235600,176500,498500,424600,87600,135400,62600,133600,137300,259400,246200,78300,123800,3035500
12,2020-10,380200,544000,240000,101900,139500,157100,227600,157300,429400,523500,139800,165500,99700,151800,143900,293300,344400,61800,135600,3225300
13,2020-11,529500,498200,229300,130000,125100,157500,219700,136600,357700,516100,98500,156100,116000,149300,128000,343900,338300,36000,125500,5066300
14,2020-12,445700,436200,199800,151000,113700,128800,228800,108200,323100,669800,72400,157100,124500,133900,99100,348900,318500,23400,110900,4384300
15,2021-01,311200,472400,226000,192500,117100,134700,215000,128000,549100,666600,72800,175700,119600,159500,102800,356800,381300,37700,156700,3256700
16,2021-02,334400,543800,232400,226600,181900,159000,214400,155100,516500,776400,96900,182500,131600,181100,121300,376800,405800,85600,181900,3661800
17,2021-03,640300,618300,274900,231400,223400,189700,213000,221300,452200,830800,174600,226400,140100,182100,150000,442600,372200,146900,161100,3771200
18,2021-04,882600,536900,228100,201600,240700,168200,200600,220900,307400,522600,181300,228800,114700,141100,143300,428700,269500,190100,132600,4371100
19,2021-05,1161400,495100,202600,192300,286100,153100,196700,225100,286100,381100,155900,212700,95000,116500,146700,396500,203700,238100,122300,3813700
20,2021-06,1268200,408700,169300,146000,318400,123900,181800,251100,163300,238900,111200,194900,67900,88500,150500,357200,142600,231600,122500,2908000
21,2021-07,1262900,355000,148800,140400,295500,98700,184800,222500,130300,187600,79500,183100,57500,81500,143300,312700,118700,190000,112700,3278700
22,2021-08,721500,392700,174800,178300,206300,128800,195000,195100,203500,195400,85100,212100,77300,109200,133400,326400,118900,117400,121300,4050600
23,2021-09,522700,503200,211000,293800,155800,172700,197500,179800,319500,280700,126800,266900,137400,152200,141100,397400,170500,99800,127200,3526800
24,2021-10,642400,539000,225300,290400,154600,171700,192300,182900,337700,290700,159100,306900,163400,173400,150800,443700,180200,120600,141100,3691700
25,2021-11,655500,502200,215900,289300,119700,158700,169500,135500,344200,239600,120400,293500,157600,159000,123500,394400,182600,78300,120000,3863300
26,2021-12,497900,442300,204300,307700,104400,135100,183300,117200,283000,218500,98200,287300,140800,155300,111700,427200,178400,41000,111800,3132400
27,2022-01,375500,496100,206800,405200,113800,147300,200300,134100,323800,256900,95200,349000,155900,178900,120800,441000,186000,41700,147000,4102700
28,2022-02,426600,486900,205600,419200,178900,151300,188500,152900,287600,263300,99400,311300,152600,165300,118900,389200,183500,80200,173300,4139900
29,2022-03,741000,559100,241600,380300,197500,180300,184500,189200,307100,279800,242500,303300,173100,182300,129600,369900,193300,155100,139600,4477500
30,2022-04,1115200,513000,216100,306200,264100,168600,170800,212100,214100,208300,222200,256200,139300,149800,145400,359100,142900,237600,129700,4063700
31,2022-05,1428300,467700,203000,254000,297200,171800,173000,247300,159300,182800,212700,235800,124100,140300,167900,375600,146000,277500,136800,5446900
32,2022-06,1522900,373400,169800,191600,316300,145300,164300,240300,108700,115500,210200,224800,98600,109200,148200,341300,97700,290600,133400,3342400
33,2022-07,1694500,316100,145500,175500,316000,125900,170400,246000,75400,90200,120100,207100,80700,88700,140600,322000,80000,301200,132500,3233900
34,2022-08,1178800,325200,156100,221900,233700,136000,188400,195000,89100,182900,116700,286100,106400,92700,131600,366700,105900,227200,149300,4000900
35,2022-09,622300,411000,175600,270200,145700,163300,162700,171600,153000,150600,173500,266900,169700,114700,132800,367100,95600,105800,147700,3265700
