,period,가습기,갤럭시z플립3,갤럭시z플립3케이스,갤럭시워치4,김치냉장고,냉장고,노트북,닌텐도스위치oled,닌텐도스위치,다이슨에어랩,무선청소기,벽걸이에어컨,블루투스스피커,선풍기,에어컨,에어팟3세대,에어팟프로,에어프라이어,전자레인지,제습기
0,2019-10,359100,0,0,490,148000,241100,351800,0,494600,184600,155600,24500,226800,25800,61700,630800,3057800,590900,170500,87200
1,2019-11,664500,0,0,290,323100,254400,385300,0,861200,220800,167500,23900,222500,16900,64300,228200,1916100,732300,175200,74800
2,2019-12,625800,0,0,210,173300,244300,490500,0,1135900,269100,182300,24500,258200,13900,66600,146900,1301900,830500,191300,70700
3,2020-01,363100,0,0,220,126400,275400,579200,0,929700,326500,184800,35600,281200,14900,93700,112300,1137800,679500,211600,76400
4,2020-02,288200,0,0,210,115400,288300,565700,0,1015100,363900,190500,55900,250000,21800,126900,66100,942500,728400,251600,78200
5,2020-03,253300,0,0,220,148700,328100,774300,0,3471200,356200,236000,105900,275500,46500,203500,54700,868000,989100,275200,93300
6,2020-04,174600,10,0,150,157800,332000,775100,0,4794600,333300,211900,146800,270000,78300,250200,56700,961900,775500,243900,88200
7,2020-05,77800,0,0,160,178100,380200,505900,0,2521700,309800,219000,379900,256700,520000,500200,47100,1044500,584100,221300,445700
8,2020-06,51300,0,0,370,157300,391100,443400,0,1431300,319400,196100,492400,239100,942700,599000,25400,841800,503000,188400,403100
9,2020-07,42800,10,0,770,153500,381600,438000,0,1233600,323200,192600,133800,249700,301900,213600,24700,850200,494400,195900,562500
10,2020-08,55200,160,0,3150,191500,448400,529100,0,1272100,282000,225500,272200,275900,406200,451900,27400,862100,549600,223100,1192100
11,2020-09,184500,2200,0,3720,187300,353800,558200,20,1111800,309000,220400,43800,273600,65600,91000,27000,830500,614400,214700,191300
12,2020-10,582900,5290,0,4910,216200,304200,424400,0,1009200,375400,205000,24000,242500,24200,61800,65800,873100,576700,202300,86000
13,2020-11,687300,7310,0,5920,351300,297900,650900,0,889900,414100,200200,24200,231500,17500,64600,44300,961700,563400,203300,103900
14,2020-12,826600,12900,0,9780,262300,315100,702300,0,1446200,540400,227100,27500,281400,16400,73300,33600,959100,770500,259600,97100
15,2021-01,477300,62800,0,27900,152400,351400,671200,0,1183900,549000,233900,38600,250100,18900,101200,30000,886300,800600,294300,109800
16,2021-02,215800,72100,20,34100,126600,301400,533400,0,1216700,592200,221300,52900,216400,22000,114300,48000,765500,541900,240300,89500
17,2021-03,170600,126700,80,97000,131200,316600,534700,150,902200,687500,210800,107100,259600,61700,189400,241400,666800,500500,242100,169300
18,2021-04,135000,175400,120,196700,132400,306800,381700,10,722900,578100,194600,165000,234800,154100,239600,177800,631100,439100,192300,181600
19,2021-05,89400,370500,460,225800,169200,332300,355400,50,697900,562200,264400,232600,233800,407300,309800,178900,552100,454800,193400,542800
20,2021-06,54700,367500,700,262900,148500,365200,349600,0,456300,413500,244000,302500,267100,696000,380100,126100,496200,380200,186600,476300
21,2021-07,46300,534700,1780,510600,179600,494700,452100,27800,597200,408200,240300,663000,236600,830100,894500,128000,510800,377200,219800,620400
22,2021-08,60100,5460900,511600,4755000,198000,467700,482300,19600,589600,445000,255600,144600,221500,219200,230100,182900,535300,446200,237600,195200
23,2021-09,150000,2431600,482400,3309600,204300,371300,424500,80900,580000,418600,231900,38300,216700,59000,75000,286800,604200,409700,212400,129300
24,2021-10,555200,1414800,389000,1815400,224500,335700,399400,336000,583800,476100,229100,33700,206600,39500,65600,507900,723600,431400,216200,114100
25,2021-11,641600,933300,331800,1212200,307200,284800,346900,228800,553700,553300,218100,26600,205300,18500,58000,688300,570600,359800,204300,80400
26,2021-12,597300,927100,310000,1076100,188500,270300,416600,279300,788100,746700,186100,26700,198600,15700,61200,482000,523000,373100,222100,78200
27,2022-01,507200,868000,312900,980400,133500,300700,499800,233100,667500,937400,217900,36000,178200,17000,82300,423300,495200,436800,247800,72600
28,2022-02,406700,688800,265800,1068600,119600,302700,577300,283400,722500,1052200,217800,54100,196900,21100,107300,356300,455300,403400,258100,74600
29,2022-03,269600,575600,239600,963400,115300,312200,543200,213800,557000,778000,189100,104400,219100,56800,170000,303800,398800,345400,231900,134400
30,2022-04,148400,513200,212400,836100,112200,301500,403000,181600,464900,614800,152900,212100,190200,266800,275900,252200,359800,242600,191500,168000
31,2022-05,87200,515000,214100,990900,122100,323600,368200,165800,489600,555300,153700,241300,203400,485200,285600,224000,338200,228900,168900,149300
32,2022-06,57300,474200,209800,908700,133300,369300,296600,110300,357900,551500,154900,348900,177200,931300,426600,204200,315100,216300,165600,767200
33,2022-07,42500,456400,220000,861300,172700,424100,361500,126200,392900,505200,171700,409400,203200,835700,551500,200600,315700,234300,189400,413600
34,2022-08,71700,457500,236400,839300,165300,393100,401900,138800,425100,647500,175800,152200,198100,250400,240900,211300,360500,299900,218100,326400
35,2022-09,174500,213000,142100,400000,151500,301500,289500,128800,388100,572200,168200,39400,183300,61600,72500,205900,424900,245200,176000,128300
