,period,매트리스,서랍장,소파,쇼파,수납장,식탁,식탁의자,아일랜드식탁,암막커튼,옷장,전신거울,책상,침대,침대프레임,커튼,파티션,행거,화장대
0,2019-10,183900,141400,93700,188500,97400,116600,84700,84400,150400,105400,95900,160100,236200,94600,154900,89700,211400,144400
1,2019-11,164300,147100,94000,197100,103400,127800,90100,90400,169500,109900,99300,169500,228400,92900,189300,102700,264900,152600
2,2019-12,167900,148300,100200,206600,108800,144500,99600,95900,159900,112700,106800,193600,241400,105600,188300,102400,262800,165300
3,2020-01,197500,161000,108500,227900,116800,165900,108500,100600,134800,120400,112100,234400,282500,113700,168500,106400,235400,183300
4,2020-02,222500,183500,120000,248700,137300,182300,126000,115600,160900,136500,142200,282000,319400,132300,199200,123200,259800,208500
5,2020-03,263100,218200,139800,290300,165500,206200,149700,133300,209300,145500,165200,318000,343300,138300,244600,141700,273200,235500
6,2020-04,246400,194700,141300,279300,150600,196500,140100,130600,204200,133800,143600,295400,317400,128200,218500,136900,233400,200900
7,2020-05,260800,185500,131800,268400,140800,190200,135000,127100,184700,127600,135900,252800,328400,125500,193800,121800,210900,187000
8,2020-06,231300,155200,116100,238400,118600,169300,117800,109000,168800,104400,113700,213500,275700,112700,171900,116200,176900,161200
9,2020-07,225700,157500,121300,248400,124800,172600,120100,122100,125900,106300,106200,216500,287200,120500,149300,115000,171200,161000
10,2020-08,265100,187400,134400,279500,137800,190400,138100,135500,137300,123200,112300,259900,320600,140100,166100,117500,193000,174300
11,2020-09,271200,205300,133200,270200,146900,190000,135300,135500,166300,132700,117000,273300,326700,145400,188500,122900,213300,176900
12,2020-10,235000,192700,128200,250800,129600,182100,125100,126300,206200,135000,111000,221700,310400,140500,208100,116500,253600,159900
13,2020-11,200800,187900,125000,233400,126400,188000,122800,117300,198000,129800,106700,220100,289800,134400,213700,121900,271300,157600
14,2020-12,225500,215300,141200,265900,152600,224000,152300,135000,254800,143100,131400,315200,329200,151500,268900,139100,273800,193800
15,2021-01,252300,221000,145900,272100,159400,233000,160100,141800,208600,145400,139200,349600,347000,170200,245200,146400,247200,202400
16,2021-02,226100,189100,123200,225600,132400,185300,126500,114700,144500,123800,121300,289800,302500,158100,181900,126000,209400,163400
17,2021-03,237700,198400,127900,234800,137900,203300,129100,120300,155400,130800,134600,277000,299500,162300,186200,148500,230100,164500
18,2021-04,216400,165200,117000,213500,116700,179100,107100,104100,143900,107000,106100,214400,268500,138500,157800,132800,184100,141100
19,2021-05,216500,160400,118000,214600,115300,171800,104500,102600,144700,103300,101300,198400,265700,131200,150000,116300,175800,132900
20,2021-06,202500,137900,112100,198300,105100,145400,96100,91300,136200,91100,93600,178300,247400,124800,137300,111000,152700,115000
21,2021-07,216100,139100,119200,215800,109000,145700,110500,95200,145700,93400,95400,191900,258500,134300,145700,115400,155300,123600
22,2021-08,236600,154700,137500,233600,116000,174000,123700,104200,126500,103400,99700,207900,284800,156500,144100,112600,155400,137600
23,2021-09,237300,150300,134300,212300,112000,163700,115100,95800,125300,106500,93900,191400,264400,159800,146600,109200,161000,130700
24,2021-10,231800,165300,138900,213300,122600,164700,122300,108400,169300,124000,102000,189600,259000,167500,186000,123800,235800,144900
25,2021-11,181200,137500,112900,176300,104800,145200,103400,93000,147200,105400,91000,164300,209300,135400,170900,109600,232400,122100
26,2021-12,213200,142700,105700,182500,107800,157700,109900,91400,148400,105000,93400,188600,219200,131900,179300,114200,226500,127200
27,2022-01,211500,150200,117300,206600,119300,172800,123000,98700,135900,112300,104900,228700,253500,149600,167100,120700,216800,145400
28,2022-02,220100,148200,123400,189300,119700,154700,122700,98100,160000,112200,110700,230800,252100,145100,176400,117000,205100,144700
29,2022-03,203600,145800,111800,186700,117300,136000,114900,94100,125000,108400,112400,194800,234000,132100,152200,132000,200800,123700
30,2022-04,180300,120000,99000,161900,98300,119400,99500,81000,123200,90000,89800,149200,207100,113200,134300,123000,170000,105700
31,2022-05,199900,121700,103400,173700,98900,138500,105300,81700,142900,89300,89600,140000,211900,117800,124900,104800,167000,113700
32,2022-06,228600,110700,101900,169100,94700,131500,110000,77300,136200,81200,86600,141500,209200,129000,116800,93500,154300,112100
33,2022-07,218700,113000,106600,164900,100600,129600,119700,77200,121500,76500,90300,144900,193100,124300,112700,97500,166900,113700
34,2022-08,224500,121100,112300,194800,105300,134000,152700,74900,115200,85100,86500,149300,219400,120800,110700,98100,203100,114000
35,2022-09,184200,115000,89000,161000,92300,111800,97500,66200,96000,83200,74200,128100,192600,106400,96100,92100,147300,92200
