"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","크록스","77,700","644,200","721,900","615,116","0.852","- (-)"
"-","나이키운동화","30,800","371,200","402,000","2,692,939","6.699","- (-)"
"-","에코백","24,100","211,400","235,500","1,731,041","7.350","- (-)"
"-","나이키에어포스","20,400","245,300","265,700","302,809","1.140","- (-)"
"-","운동화","22,200","157,800","180,000","16,505,699","91.698","- (-)"
"-","셀린느가방","15,700","239,100","254,800","101,825","0.400","- (-)"
"-","카드지갑","20,000","144,300","164,300","5,122,919","31.180","- (-)"
"-","나이키데이브레이크","9,660","131,800","141,460","56,830","0.402","- (-)"
"-","캉골가방","4,970","89,000","93,970","92,612","0.986","- (-)"
"-","루이비통가방","19,500","351,700","371,200","143,725","0.387","- (-)"
"-","스케쳐스운동화","9,500","179,800","189,300","220,201","1.163","- (-)"
"-","크로스백","13,300","143,300","156,600","12,025,223","76.789","- (-)"
"-","뉴발란스327","22,500","137,300","159,800","86,459","0.541","- (-)"
"-","어그슬리퍼","4,980","75,400","80,380","154,800","1.926","- (-)"
"-","뉴발란스운동화","11,300","182,700","194,000","596,628","3.075","- (-)"
"-","슬리퍼","37,200","269,700","306,900","10,216,654","33.290","- (-)"
"-","양산","12,000","52,400","64,400","1,164,250","18.078","- (-)"
"-","아디다스운동화","12,100","160,800","172,900","1,324,540","7.661","- (-)"
"-","양말","15,400","112,700","128,100","8,601,128","67.144","- (-)"
"-","캉골크로스백","4,950","103,400","108,350","35,355","0.326","- (-)"
