"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","크록스","77,700","644,200","721,900","615,116","0.852","- (-)"
"-","나이키운동화","30,800","371,200","402,000","2,692,896","6.699","- (-)"
"-","운동화","22,200","157,800","180,000","16,505,332","91.696","- (-)"
"-","슬리퍼","37,200","269,700","306,900","10,216,725","33.290","- (-)"
"-","안전화","17,100","93,200","110,300","2,020,150","18.315","- (-)"
"-","아디다스운동화","12,100","160,800","172,900","1,324,561","7.661","- (-)"
"-","나이키에어포스","20,400","245,300","265,700","302,729","1.139","- (-)"
"-","나이키에어맥스","8,240","108,100","116,340","587,365","5.049","- (-)"
"-","gwf-a1000","60","230","290","735","2.534","높음 (3)"
"-","나이키에어포스1","7,190","96,800","103,990","287,680","2.766","- (-)"
"-","나이키에어맥스97","5,870","74,700","80,570","105,494","1.309","- (-)"
"-","남성스니커즈","4,490","27,700","32,190","7,564,256","234.988","- (-)"
"-","남자운동화","4,990","34,600","39,590","8,991,894","227.125","- (-)"
"-","런닝화","8,960","64,600","73,560","5,497,324","74.733","- (-)"
"-","뉴발란스327","22,500","137,300","159,800","86,452","0.541","- (-)"
"-","백팩","16,300","118,000","134,300","8,693,832","64.734","- (-)"
"-","남자스니커즈","4,660","28,600","33,260","7,564,258","227.428","- (-)"
"-","나이키","633,200","3,192,600","3,825,800","7,276,720","1.902","- (-)"
"-","아쿠아슈즈","23,900","152,900","176,800","692,300","3.916","- (-)"
"-","리복운동화","4,340","38,100","42,440","165,347","3.896","- (-)"
