"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","코트","4,350","24,800","29,150","12,533,373","429.961","- (-)"
"-","여성트레이닝세트","2,810","44,400","47,210","555,301","11.762","- (-)"
"-","후드티","2,370","22,200","24,570","7,221,226","293.904","- (-)"
"-","하객원피스","3,050","31,300","34,350","1,273,846","37.084","- (-)"
"-","지고트원피스","2,680","50,500","53,180","49,105","0.923","- (-)"
"-","여성숏패딩","310","3,630","3,940","683,834","173.562","- (-)"
"-","여성패딩","1,390","12,500","13,890","4,533,487","326.385","- (-)"
"-","맨투맨","3,610","26,200","29,810","7,905,865","265.208","- (-)"
"-","니트원피스","1,530","23,200","24,730","1,745,770","70.593","- (-)"
"-","몽클레어여성패딩","4,600","87,700","92,300","211,078","2.287","- (-)"
"-","핸드메이드코트","1,640","12,100","13,740","356,442","25.942","- (-)"
"-","나이키바람막이","5,290","64,400","69,690","90,041","1.292","- (-)"
"-","잠옷","11,800","114,700","126,500","6,810,800","53.840","- (-)"
"-","롱원피스","6,860","110,300","117,160","5,642,328","48.159","- (-)"
"-","롱패딩","5,050","41,500","46,550","1,024,247","22.003","- (-)"
"-","블라우스","7,260","86,400","93,660","9,105,625","97.220","- (-)"
"-","숏패딩","2,880","31,000","33,880","1,018,396","30.059","- (-)"
"-","써스데이아일랜드원피스","3,010","55,100","58,110","15,102","0.260","- (-)"
"-","트위드자켓","2,230","32,400","34,630","938,853","27.111","- (-)"
"-","원피스","65,300","570,900","636,200","25,392,887","39.913","- (-)"
