,상품이름,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10 (예측)
0,가히멀티밤,0,0,0,0,0,0,22790,6250,3330,3430,6660,14730,29730,270060,81470,83680,147330,171620,412340,352760,433000,707350,581770,470080,371720,562740,536450,437390,261310,291400,281370,166120,128220,205610,144510,183870
1,바디미스트,21710,21190,23830,24720,34000,28210,33930,34020,32350,34390,27210,23630,20900,21350,22160,20780,23220,22200,26860,28800,30410,27180,29160,28670,24940,20750,22730,20110,21190,24230,30790,36510,35670,30450,20210,15740
2,헤라블랙쿠션,135390,109650,122280,110260,90210,89510,105890,98970,102570,104420,74210,72780,73190,58660,66260,69630,100310,166460,141710,127060,122040,94050,120560,134140,138870,126050,139630,129840,109360,130330,154260,148670,128670,131550,128160,113030
3,인셀덤,177140,209550,231840,236090,224100,218540,224250,199290,197120,182170,206680,233300,262670,270980,283500,246800,269160,300970,266660,236450,224490,235660,255480,252560,248300,244920,302010,249870,255270,261460,265940,223730,204180,193170,186650,269430
4,ahc아이크림,90540,102870,132220,107630,98370,102000,79290,55800,59540,55960,79430,77820,76210,96400,133830,83610,74920,82860,87780,66170,66860,76570,83750,86300,95400,95710,136970,98870,71370,73070,83530,71950,61400,75760,72720,100520
5,샴푸,88260,82790,83420,87080,93990,82840,80560,83290,87350,92440,83810,76790,84800,98960,107520,85210,91710,87270,88380,94030,101820,112920,101840,97180,91520,99160,108190,104160,111520,96590,107180,114810,122510,120600,91320,161600
6,바디워시,50940,55190,68270,64120,66910,58230,58510,65700,70730,83060,69170,59350,56100,62550,66250,62090,68930,66150,73460,81450,97350,94190,80260,67340,63400,63160,69230,70410,74510,66770,87520,94900,104510,96130,75530,82420
7,모다모다블랙샴푸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,5660,98520,237630,911420,705170,301340,283680,466400,323550,142540,150270,212510,252050,219180,259450,131830,100610,46780
8,바디로션,83800,76160,67620,63360,76940,77300,49360,37090,33990,33310,58920,103510,103080,118310,95890,64490,61120,58640,49070,37380,35100,40620,53780,92560,96340,100120,102540,84830,78010,65150,70020,58070,43450,117510,69860,99290
9,핸드크림,95330,96430,53220,62000,62460,57550,38580,23530,24740,25190,50850,105060,121550,153780,99260,70910,56910,57790,49020,31090,28340,37550,55120,106750,138830,163000,130610,102860,81940,70920,62980,41900,39480,49190,65620,115770
10,설화수자음2종,2540,2850,4310,2050,2340,4360,3900,12900,40880,38570,77200,56250,46790,52960,66810,61750,48040,56520,57950,33650,33540,41420,70050,38290,47920,50130,86100,57080,56620,61170,72300,46800,43050,63180,64270,52910
11,닥터지선크림,42460,41300,29130,43910,63340,82360,114610,98070,60540,50020,34920,37090,36190,33630,35030,42840,69110,90880,94150,97950,74830,54550,44760,42320,45270,39540,40610,42370,55660,86190,102360,78810,65610,47520,43640,33020
12,헤어에센스,59690,59210,67480,67110,74810,72210,74710,62540,68160,70230,64450,70490,74510,75840,78720,71160,77350,69030,69910,67440,68810,72290,72980,70060,70480,72860,80200,78380,81980,80530,84230,78950,78840,85890,69090,80270
13,입생로랑쿠션,88430,81400,80470,76320,59020,42460,44620,39660,52010,163020,84310,73520,71110,71560,65490,69900,67180,61070,54460,44810,41410,54300,51490,53750,57410,67690,82980,110640,140180,103110,110910,90080,77340,80860,76700,71740
14,록시땅핸드크림,126440,173890,112210,109190,74510,67630,67590,27790,30040,31660,80760,134070,154200,201090,129450,109280,69310,64210,72490,33540,30040,42590,76840,115400,154650,217750,158220,125580,75030,63470,71630,45120,39390,50430,69450,100690
15,염색약,43580,51690,59390,59370,79210,67740,59490,54200,56480,59650,56300,48850,49010,60870,62130,49460,56300,55310,57090,57140,65050,64050,58070,54280,53130,59500,69740,74440,68580,66540,66610,59250,69210,66590,81900,56060
16,디올립글로우,39370,60420,119750,88420,69480,51390,53380,35430,41910,49880,52330,61410,65060,90040,74420,79360,60080,50870,96660,59740,49160,56740,56510,62730,81280,113420,130630,125040,87070,78390,101920,71810,64750,72970,80610,87700
17,인셀덤화장품,38260,42350,41370,37910,31440,34820,34320,45810,70890,65490,72920,95290,99900,96140,92710,85260,99510,101710,98910,94450,85300,98300,101200,104880,111130,109920,126840,104130,103600,113910,129080,111030,98110,97660,85430,75390
18,선크림,39190,34870,45780,49910,67570,78720,96610,105480,68410,58590,36460,37990,35400,33300,44050,46500,71060,119260,125420,126640,108780,56680,39590,47950,43700,35020,41000,53730,71010,107690,139480,98790,93620,63510,61610,75590
19,설화수,72890,80970,97400,65580,69420,89140,87160,56370,58270,60460,104490,86640,87660,95360,109060,101150,84050,99910,111980,67780,64040,87500,142800,109880,107870,118570,152980,106180,105850,121480,135480,89690,78530,109840,129100,110260
20,탈모샴푸,83320,65890,65190,61350,67790,68950,78890,92790,93040,104140,112290,110800,105970,104760,92500,73900,84640,78650,85750,86660,97630,110490,109020,111320,103960,99200,109360,99070,90780,79930,84720,95360,110160,105270,85060,84780
21,마스크팩,75060,72100,78960,84940,94030,86150,79710,79990,70360,74430,74530,75030,72530,80420,77130,69440,85680,83990,84910,83530,94100,84260,66920,73690,73010,70370,81720,75980,71180,83440,102140,89610,95590,95820,73160,76110
22,에스티로더더블웨어파운데이션,26720,66860,38810,50440,73510,63160,80960,80060,75950,71980,56650,64780,59180,50160,46260,49140,59240,48060,49760,57230,49080,43780,46990,44610,49600,47200,49660,52100,57370,60750,65240,65760,63600,60240,51470,37600
23,모로칸오일,25280,38810,42830,45410,44290,47260,46770,39450,46550,45100,43430,49060,50170,59660,59790,54360,55350,48410,48210,49770,43110,44570,49870,48700,58530,55040,57420,53500,57910,52740,54780,52180,48620,53620,53750,49430
24,가히,4200,4130,4000,4000,5710,10440,14710,10060,7970,8800,9400,10520,11790,14080,13460,11570,18050,19810,66690,78910,110330,211560,162660,188280,94010,87420,126040,115930,70380,87230,84450,46930,37830,76250,55050,147400
25,샤넬향수,79850,114430,94130,101420,88920,73610,69830,49760,64320,76770,82960,73610,76470,92770,71990,83970,81360,65100,81950,64140,63170,71190,88100,88230,89540,135820,118950,111830,105410,92830,105810,100040,87210,92830,106970,124880
26,ts샴푸,119890,112710,178420,103920,126440,102310,115630,93500,95840,109850,113300,113430,93090,101920,105350,76450,76370,69230,72020,67610,103800,108920,98560,77470,71940,65930,81000,70790,565320,62370,61410,58130,70660,96670,79400,56840
27,피지오겔,69080,76460,65710,71360,75560,62940,52810,43260,40820,44980,62110,84600,94330,107600,104200,77810,67850,57900,50170,44170,41260,43900,52970,67490,69890,68670,79290,63210,62850,53440,127830,58870,48690,58090,88710,97710
28,피지오겔페이셜크림,75790,110020,34530,67870,78470,50730,45790,29670,27940,31460,60910,78430,83760,101340,72800,45740,46130,35710,36560,28340,22360,26380,35280,46040,51870,50480,54610,39110,34450,28130,33810,22610,18240,20940,32670,38140
29,수분크림,97980,86750,97600,78330,90050,84030,66050,62970,56910,56770,66150,88650,82040,86520,85990,68920,71860,70270,62730,55860,56050,52890,51370,75610,72470,70990,76630,70460,59370,59090,62810,53460,43690,46560,45860,127140
30,염색샴푸,11110,6400,6350,5500,5680,5660,5850,5270,5870,5710,4840,4830,4890,5730,5940,5800,6440,8120,13050,34040,34560,62360,68500,42980,38180,78970,61720,54870,59460,133750,226350,204380,216970,185760,187070,72910
31,실크테라피헤어에센스,39060,45430,50640,49200,45800,41090,38010,35520,36900,38560,39740,39580,44950,41160,49300,41000,50930,41400,38260,36560,36260,37380,35250,37700,36500,35640,45860,39760,40380,34940,35220,36570,34890,35150,35350,39000
32,폼클렌징,51540,47670,55320,55830,67950,56020,52540,48720,51210,57480,53660,49820,48750,49770,49060,46390,51180,50100,47130,46060,49980,53670,48940,48510,46530,50740,53080,56480,54570,52400,57420,64700,61410,54150,46570,57790
33,달바미스트세럼,39780,78430,98480,97720,73860,58510,192550,144310,27740,29170,38630,49850,66080,80320,63460,53400,53490,46790,46850,42330,38210,42450,41910,59790,79310,103440,106260,96560,66830,60220,58850,43970,46330,42490,55180,78670
34,헤드앤숄더샴푸,16100,16170,17220,19530,27590,25720,24770,24160,21790,24630,25370,30240,31810,36820,40080,30170,35610,30290,30650,32350,32820,34310,30630,32890,34200,37300,40820,38880,40310,35090,38950,40050,39350,40100,34790,36020
35,에스티로더갈색병,51280,59650,108380,60330,45580,66770,53030,31000,31680,55550,64730,53030,47140,76390,67340,55350,49740,56070,63600,43920,47110,80990,102780,64920,73160,94180,79400,70170,72280,70090,79100,56420,49020,70230,75530,53400
36,닥터지블랙스네일크림,129460,123940,129570,84160,62480,59880,68820,47680,40700,36770,59500,69970,66610,61720,59190,64060,55770,45390,43780,32730,27090,29050,38930,43360,52410,53180,57540,45700,37140,34650,36310,31570,31410,32230,37650,39010
37,향수,113900,121030,115370,122880,131940,126210,138850,109960,114380,112500,126990,116440,119250,137030,124170,127800,131210,118080,130660,110630,107190,117160,127020,133920,129420,132860,118870,117350,117860,114180,123860,110110,107070,111590,111710,112110
38,헤어트리트먼트,36730,22390,34130,31280,48140,47800,47140,51460,56830,60070,51480,50760,56580,58260,64830,57590,56840,52530,51810,50560,52420,53930,43920,40340,43280,42140,45640,57160,56430,52670,49370,54070,56020,53530,43720,14400
39,클렌징오일,67360,57240,59860,58350,59200,55100,57020,52110,49190,47450,44910,42910,43220,40440,43470,45150,47600,47600,44070,47340,47360,51140,50610,47040,46820,39790,46270,44580,44780,47740,59320,67150,53630,52670,44020,41040
40,탈모샴푸,83320,65890,65190,61350,67790,68950,78890,92790,93040,104140,112290,110800,105970,104760,92500,73900,84640,78650,85750,86660,97630,110490,109020,111320,103960,99200,109360,99070,90780,79930,84720,95360,110160,105270,85060,84780
41,핸드워시,27980,28220,49600,89660,76560,44780,38090,37660,37610,43160,42580,36620,37790,45770,41180,35120,36130,33830,32630,32300,34620,41370,40720,34960,39880,40060,42410,48460,48220,36080,37940,34960,39330,40400,34890,30850
42,동국제약마데카크림,106150,111630,136980,115560,108290,110610,78890,72650,61400,59600,77130,98100,99510,99110,141140,90520,88610,78820,74780,77580,64960,60130,59890,80730,84180,80080,83770,84250,63310,68120,71760,69130,63130,69110,61470,20850
