"period","searchVolume"
"2019-10","310"
"2019-11","480"
"2019-12","230"
"2020-01","220"
"2020-02","190"
"2020-03","170"
"2020-04","230"
"2020-05","190"
"2020-06","110"
"2020-07","120"
"2020-08","90"
"2020-09","100"
"2020-10","310"
"2020-11","340"
"2020-12","310"
"2021-01","270"
"2021-02","290"
"2021-03","200"
"2021-04","170"
"2021-05","140"
"2021-06","80"
"2021-07","140"
"2021-08","70"
"2021-09","250"
"2021-10","810"
"2021-11","880"
"2021-12","790"
"2022-01","340"
"2022-02","240"
"2022-03","200"
"2022-04","310"
"2022-05","190"
"2022-06","140"
"2022-07","140"
"2022-08","70"
"2022-09","170"
