"period","searchVolume"
"2019-10-21","1450"
"2019-10-22","1540"
"2019-10-23","1560"
"2019-10-24","1410"
"2019-10-25","1250"
"2019-10-26","1490"
"2019-10-27","1740"
"2019-10-28","1400"
"2019-10-29","1370"
"2019-10-30","1390"
"2019-10-31","1530"
"2019-11-01","1380"
"2019-11-02","1720"
"2019-11-03","1860"
"2019-11-04","1460"
"2019-11-05","1470"
"2019-11-06","1550"
"2019-11-07","1450"
"2019-11-08","1250"
"2019-11-09","1440"
"2019-11-10","1620"
"2019-11-11","1280"
"2019-11-12","1320"
"2019-11-13","1360"
"2019-11-14","1500"
"2019-11-15","1450"
"2019-11-16","1560"
"2019-11-17","1650"
"2019-11-18","1390"
"2019-11-19","1280"
"2019-11-20","1190"
"2019-11-21","1250"
"2019-11-22","1420"
"2019-11-23","1480"
"2019-11-24","1750"
"2019-11-25","1290"
"2019-11-26","1160"
"2019-11-27","1310"
"2019-11-28","1340"
"2019-11-29","1320"
"2019-11-30","1380"
"2019-12-01","1610"
"2019-12-02","1190"
"2019-12-03","1150"
"2019-12-04","1210"
"2019-12-05","1170"
"2019-12-06","1120"
"2019-12-07","1220"
"2019-12-08","1400"
"2019-12-09","1140"
"2019-12-10","1300"
"2019-12-11","1260"
"2019-12-12","1160"
"2019-12-13","1200"
"2019-12-14","1170"
"2019-12-15","1350"
"2019-12-16","1220"
"2019-12-17","1190"
"2019-12-18","1290"
"2019-12-19","1320"
"2019-12-20","1410"
"2019-12-21","1640"
"2019-12-22","1700"
"2019-12-23","1400"
"2019-12-24","1180"
"2019-12-25","1690"
"2019-12-26","1460"
"2019-12-27","1150"
"2019-12-28","1430"
"2019-12-29","1670"
"2019-12-30","1450"
"2019-12-31","1210"
"2020-01-01","1390"
"2020-01-02","1310"
"2020-01-03","1330"
"2020-01-04","1680"
"2020-01-05","1670"
"2020-01-06","1430"
"2020-01-07","1480"
"2020-01-08","1360"
"2020-01-09","1330"
"2020-01-10","1390"
"2020-01-11","1690"
"2020-01-12","1780"
"2020-01-13","1510"
"2020-01-14","1380"
"2020-01-15","1580"
"2020-01-16","1500"
"2020-01-17","1510"
"2020-01-18","1910"
"2020-01-19","2190"
"2020-01-20","1730"
"2020-01-21","1510"
"2020-01-22","1480"
"2020-01-23","1370"
"2020-01-24","1380"
"2020-01-25","1290"
"2020-01-26","1980"
"2020-01-27","2360"
"2020-01-28","1740"
"2020-01-29","1690"
"2020-01-30","1580"
"2020-01-31","1360"
"2020-02-01","2180"
"2020-02-02","2040"
"2020-02-03","1620"
"2020-02-04","1420"
"2020-02-05","1460"
"2020-02-06","1520"
"2020-02-07","1440"
"2020-02-08","1900"
"2020-02-09","2040"
"2020-02-10","1640"
"2020-02-11","1800"
"2020-02-12","1880"
"2020-02-13","1830"
"2020-02-14","1830"
"2020-02-15","2120"
"2020-02-16","2250"
"2020-02-17","2130"
"2020-02-18","1940"
"2020-02-19","1740"
"2020-02-20","1590"
"2020-02-21","1500"
"2020-02-22","1710"
"2020-02-23","1820"
"2020-02-24","1920"
"2020-02-25","1810"
"2020-02-26","1750"
"2020-02-27","1820"
"2020-02-28","1840"
"2020-02-29","2030"
"2020-03-01","2090"
"2020-03-02","1620"
"2020-03-03","1810"
"2020-03-04","2040"
"2020-03-05","2040"
"2020-03-06","1920"
"2020-03-07","2390"
"2020-03-08","2400"
"2020-03-09","2000"
"2020-03-10","2150"
"2020-03-11","2110"
"2020-03-12","2120"
"2020-03-13","1770"
"2020-03-14","1980"
"2020-03-15","2180"
"2020-03-16","1790"
"2020-03-17","2280"
"2020-03-18","2410"
"2020-03-19","2230"
"2020-03-20","2190"
"2020-03-21","2560"
"2020-03-22","2610"
"2020-03-23","2300"
"2020-03-24","2480"
"2020-03-25","2510"
"2020-03-26","2660"
"2020-03-27","2500"
"2020-03-28","2360"
"2020-03-29","2570"
"2020-03-30","2170"
"2020-03-31","2250"
"2020-04-01","2210"
"2020-04-02","2170"
"2020-04-03","2300"
"2020-04-04","2590"
"2020-04-05","2390"
"2020-04-06","2380"
"2020-04-07","3440"
"2020-04-08","2760"
"2020-04-09","3340"
"2020-04-10","2840"
"2020-04-11","2620"
"2020-04-12","2700"
"2020-04-13","2460"
"2020-04-14","2650"
"2020-04-15","2830"
"2020-04-16","2570"
"2020-04-17","2830"
"2020-04-18","3210"
"2020-04-19","3300"
"2020-04-20","2500"
"2020-04-21","2510"
"2020-04-22","2480"
"2020-04-23","2310"
