"period","searchVolume"
"2019-10","153900"
"2019-11","79700"
"2019-12","61600"
"2020-01","120300"
"2020-02","231000"
"2020-03","221700"
"2020-04","105100"
"2020-05","25500"
"2020-06","8710"
"2020-07","13600"
"2020-08","32100"
"2020-09","117800"
"2020-10","164600"
"2020-11","84800"
"2020-12","44800"
"2021-01","71500"
"2021-02","192300"
"2021-03","261700"
"2021-04","93200"
"2021-05","33000"
"2021-06","12400"
"2021-07","13800"
"2021-08","55000"
"2021-09","130900"
"2021-10","159300"
"2021-11","96700"
"2021-12","58500"
"2022-01","96000"
"2022-02","199500"
"2022-03","336500"
"2022-04","140200"
"2022-05","56300"
"2022-06","39800"
"2022-07","35500"
"2022-08","67800"
"2022-09","146200"
